,radius,cur_x,cur_y,error_X,error_Y,derivative_X,derivative_y,integral_x,integral_y,angle_x,angle_y,delta_angle_x,delta_angle_y,time
110,67,296.4049072265625,180.26693725585938,46.4049072265625,-39.733062744140625,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.03138944050448244,-0.03848294028283717,1.6320564926429744,-2.5379667507386854,0.009968280792236328
111,65,292.00421142578125,181.0,42.00421142578125,-39.0,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.06569349672110747,-0.0033419283338407216,-1.566362995921867,2.5346248224048447,0.0099945068359375
112,67,281.2452392578125,161.38365173339844,31.2452392578125,-58.61634826660156,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.16604507830542797,0.17453292519943295,1.732408074227295,-2.360091897205412,0.01024007797241211
113,65,288.0724182128906,178.9696807861328,38.072418212890625,-41.03031921386719,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.10775482361711335,-0.17453292519943295,-1.8401628978444082,2.185558972005979,0.009980201721191406
114,66,285.5,169.5,35.5,-50.5,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.03835291133482605,0.1569019591280826,1.8785158091792342,-2.0286570128778965,0.010297298431396484
115,70,282.73785400390625,172.79066467285156,32.73785400390625,-47.20933532714844,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.04172990278014516,-0.04141224960979472,-1.836785906399089,1.9872447632681018,0.003345012664794922
116,69,282.8347473144531,172.31304931640625,32.834747314453125,-47.68695068359375,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.002636698772347717,0.017127325147685644,1.8341492076267414,-1.9701174381204163,0.009903907775878906
117,74,280.31732177734375,175.08766174316406,30.31732177734375,-44.91233825683594,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.0382856583608922,-0.033713093564030926,-1.7958635492658492,1.9364043445563854,0.00997781753540039
118,70,284.8663330078125,172.3651885986328,34.8663330078125,-47.63481140136719,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.07205611587816979,0.05200487828093944,1.7238074333876794,-1.884399466275446,0.020041465759277344
119,68,280.2936096191406,184.48455810546875,30.293609619140625,-35.51544189453125,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.0700875884686085,-0.17453292519943295,-1.6537198449190709,1.709866541076013,0.0027322769165039062
120,67,284.3584899902344,174.8468017578125,34.358489990234375,-45.1531982421875,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.06452705074819966,0.1588582169081215,1.5891927941708712,-1.5510083241678916,0.00955343246459961
121,69,287.89483642578125,195.9693145751953,37.89483642578125,-24.030685424804688,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.056968121192198136,-0.17453292519943295,-1.6461609153630694,1.3764753989684586,0.009982585906982422
122,70,293.4541015625,178.90594482421875,43.4541015625,-41.09405517578125,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.08930753990461769,0.17453292519943295,1.5568533754584517,-1.2019424737690256,0.0
123,67,288.6209411621094,200.12466430664062,38.620941162109375,-19.875335693359375,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.0725697157346834,-0.17453292519943295,-1.4842836597237683,1.0274095485695927,0.012478828430175781
124,70,295.6834716796875,179.89495849609375,45.6834716796875,-40.10504150390625,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.1130673814296464,0.17453292519943295,1.371216278294122,-0.8528766233701597,0.004825592041015625
125,66,291.2771301269531,198.20361328125,41.277130126953125,-21.79638671875,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.06542154995898115,-0.17453292519943295,-1.3057947283351408,0.6783436981707267,0.011107921600341797
126,74,302.4441223144531,174.38906860351562,52.444122314453125,-45.610931396484375,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,-0.17453292519943295,0.17453292519943295,1.1312618031357078,-0.5038107729712937,0.020287036895751953
127,67,295.5,192.0,45.5,-28.0,-2300.0,83.33333333333334,-514.4353059768677,-1413.5129431915275,0.10395331280456586,-0.17453292519943295,-1.027308490331142,0.32927784777186075,0.0
